deck_num,pretty_url,deck_name,cover_card,userid,format,main_deck,extra_deck,side_deck,ts_submit_date,submit_date,ts_edit_date,edit_date,comments,deck_excerpt,deck_description
52999,dragunity-guardragon-52999,Dragunity - Guardragon,63487632,17793,Meta Decks,"[""63487632"",""876330"",""876330"",""876330"",""92868896"",""92868896"",""92868896"",""59755122"",""59755122"",""59755122"",""28183605"",""28183605"",""29253591"",""29253591"",""88264978"",""89399912"",""69610326"",""69610326"",""59438930"",""59438930"",""12800777"",""14785765"",""41620959"",""41620959"",""41620959"",""24224830"",""24224830"",""24224830"",""87571563"",""87571563"",""60004971"",""75500286"",""83764719"",""81439173"",""73628505"",""62265044"",""62265044"",""62265044"",""10045474"",""10045474""]","[""48891960"",""27548199"",""50954680"",""25682811"",""25682811"",""34116027"",""21249921"",""63767246"",""74997493"",""59537380"",""11969228"",""11969228"",""24361622"",""13143275"",""86148577""]","[""66413481"",""14824019"",""21501505"",""35261759"",""38120068"",""40450317"",""49238328"",""83764719"",""98645731"",""59388357""]",1583951905,3 years ago,,,0,"Dragunity
Guardragon",Control
52991,timelord-52991,Timelord,27107590,19562,Meta Decks,"[""33015627"",""33015627"",""33015627"",""7733560"",""7733560"",""7733560"",""28929131"",""28929131"",""28929131"",""74530899"",""74530899"",""60222213"",""60222213"",""92435533"",""92435533"",""91712985"",""6616912"",""27107590"",""27107590"",""27107590"",""76375976"",""76375976"",""76375976"",""81439173"",""83764718"",""2295440"",""28890974"",""28890974"",""28890974"",""51630558"",""51630558"",""51630558"",""98645731"",""98645731"",""9409625"",""9409625"",""9409625"",""36894320"",""36894320"",""72883039""]","[""62541668"",""62541668"",""26556950"",""26556950"",""90162951"",""90162951"",""26096328"",""26096328"",""56910167"",""56910167"",""66523544"",""49032236"",""3814632"",""2857636"",""75452921""]","[""66413481"",""14824019"",""21501505"",""35261759"",""38120068"",""40450317"",""49238328"",""83764719"",""98645731"",""59388357""]",1583951905,3 years ago,,,0,Michion Sandion ,Quick timelord deck
52988,scared-beast-52988,Scared beast,87917187,19562,Meta Decks,"[""69890967"",""69890967"",""32491822"",""32491822"",""6007213"",""6007213"",""87917187"",""87917187"",""87917187"",""59546797"",""59546797"",""59546797"",""13521194"",""13521194"",""13521194"",""12958919"",""12958919"",""12958919"",""28985331"",""48596760"",""13301895"",""13301895"",""13301895"",""73628505"",""73915051"",""81439173"",""18144507"",""1475311"",""1475311"",""1475311"",""5288597"",""5288597"",""5288597"",""89208725"",""26905245"",""26905245"",""26905245"",""31550470"",""31550470"",""31550470""]","[""43378048"",""66523544"",""21858819"",""3814632"",""49032236"",""26096328"",""56910167"",""62541668"",""26556950"",""90162951"",""85289965"",""31833038"",""3987233"",""41999284"",""41999284""]","[""66413481"",""14824019"",""21501505"",""35261759"",""38120068"",""40450317"",""49238328"",""83764719"",""98645731"",""59388357""]",1583951905,3 years ago,,,0,Uria Hamon Raviel ,Best scared beast deck
52978,ten-thousand-dragon-otk-2019-52978,TEN THOUSAND DRAGON OTK 2019,10000,8997,Non-Meta Decks,"[""29603180"",""4810828"",""4810828"",""4810828"",""14558127"",""14558127"",""14558127"",""97268402"",""97268402"",""97268402"",""94145021"",""94145021"",""94145021"",""27918365"",""27918365"",""54525057"",""54525057"",""81524756"",""81524756"",""81524756"",""28031913"",""28031913"",""28031913"",""91646304"",""91646304"",""91646304"",""55241609"",""55241609"",""55241609"",""8972398"",""65681983"",""65681983"",""65681983"",""24224830"",""24224830"",""24224830"",""71650854"",""10045474"",""10045474"",""10045474""]","[""43228023"",""9753964"",""31833038"",""85289965"",""49725936"",""49725936"",""2857636"",""24361622"",""59537380"",""99011763"",""8802510"",""86148577"",""86148577"",""72228247"",""72228247""]","[""78661338"",""34267821"",""59438930"",""73642296"",""58655504"",""24508238"",""62015408"",""61901281"",""15381421"",""58582979"",""21887175"",""74997493"",""38342335"",""39528955"",""13143275""]",1583951905,3 years ago,,,0,link - https://www.youtube.com/watch?v=ixZkNJe4gxk&feature=youtu.be,link - <a>https://www.youtube.com/watch?v=ixZkNJe4gxk&amp;feature=youtu.be</a>
52975,marincess-new-support-2019-52975,MARINCESS NEW SUPPORT 2019,79130389,10628,Meta Decks,"[""91953000"",""91953000"",""91953000"",""99885917"",""99885917"",""99885917"",""36492575"",""36492575"",""36492575"",""14558127"",""14558127"",""14558127"",""59438930"",""59438930"",""9126351"",""9126351"",""9126351"",""39732186"",""1357146"",""1357146"",""46239604"",""46239604"",""28174796"",""28174796"",""28174796"",""97268402"",""97268402"",""97268402"",""57160136"",""57160136"",""57160136"",""83764718"",""91027843"",""91027843"",""91027843"",""10045474"",""10045474"",""52945066"",""52945066"",""52945066""]","[""90809975"",""90809975"",""94207108"",""94207108"",""5524387"",""5524387"",""33897356"",""79130389"",""79130389"",""67712104"",""67712104"",""43735670"",""43735670"",""30691817"",""30691817""]","[""75130221"",""75130221"",""75130221"",""53309998"",""62886670"",""39732186"",""39732186"",""61307542"",""37649320"",""23545031"",""34010534"",""10045474"",""38761908"",""64765016"",""84430165""]",1583951905,3 years ago,,,0,Marincess deck by YGO Lite,<a>https://www.youtube.com/watch?v=60XfWfGWJ1g</a>
52965,crusadia-thunder-tcg-banlist-july-2019-52965,CRUSADIA THUNDER TCG BANLIST JULY 2019,15291624,8997,Non-Meta Decks,"[""50383626"",""55878038"",""55878038"",""55878038"",""70711847"",""70711847"",""99745551"",""99745551"",""43694650"",""43694650"",""55591586"",""31786629"",""31786629"",""31786629"",""29596581"",""29596581"",""29596581"",""56713174"",""56713174"",""56713174"",""83107873"",""81524756"",""81524756"",""81524756"",""55241609"",""55241609"",""55241609"",""28031913"",""28031913"",""91646304"",""91646304"",""54525057"",""58582979"",""58582979"",""61901281"",""99234526"",""8972398"",""24940422"",""24940422"",""24940422""]","[""15291624"",""15291624"",""9753964"",""63767246"",""31833038"",""74997493"",""74997493"",""49725936"",""38342335"",""2857636"",""59537380"",""99011763"",""24361622"",""86148577"",""72228247""]","[""34267821"",""34267821"",""34267821"",""94145021"",""94145021"",""94145021"",""58655504"",""58655504"",""58655504"",""82385847"",""82385847"",""82385847"",""55063751"",""43898403"",""43898403""]",1583951905,3 years ago,,,0,CRUSADIA THUNDER TCG BANLIST JULY 2019,CRUSADIA THUNDER TCG BANLIST JULY 2019
52959,noble-knight-gearfried-52959,NOBLE KNIGHT GEARFRIED,59934749,10628,Non-Meta Decks,"[""22091647"",""22091647"",""22091647"",""5361816"",""19680539"",""19680539"",""53550467"",""88923963"",""88923963"",""88923963"",""59057152"",""59057152"",""59057152"",""47120245"",""47120245"",""30575681"",""57690191"",""57690191"",""42472002"",""42472002"",""24027078"",""24027078"",""32807846"",""75719089"",""75719089"",""75719089"",""7452945"",""7452945"",""14745409"",""14745409"",""23562407"",""23562407"",""41359411"",""46008667"",""46008667"",""83438826"",""83438826"",""87800375"",""87800375"",""87800375""]","[""10613952"",""10613952"",""10613952"",""55285840"",""90590304"",""21223277"",""21223277"",""21223277"",""46772449"",""21044178"",""78876707"",""78876707"",""85289965"",""59934749"",""59934749""]","[""53550467"",""3580032"",""3580032"",""3580032"",""94145021"",""83519853"",""90590304"",""51735257"",""48739166"",""82633039"",""5821478"",""31833038"",""68987122"",""66970385"",""24224830""]",1583951905,3 years ago,,,0,Noble Knight deck by YGO Lite,<a>https://www.youtube.com/watch?v=SJ6sVazGrNc</a>
52954,nordic-52954,Nordic,93483212,19542,Non-Meta Decks,"[""72989439"",""72989439"",""41788781"",""41788781"",""27024795"",""27024795"",""27024795"",""40666140"",""40666140"",""61777313"",""61777313"",""61777313"",""88283496"",""88283496"",""15394083"",""15394083"",""14677495"",""14677495"",""14558127"",""14558127"",""14558127"",""76348260"",""76348260"",""76348260"",""63845230"",""63845230"",""53129443"",""73628505"",""83764719"",""18027138"",""18027138"",""18027138"",""25789292"",""25789292"",""48976825"",""48976825"",""55154048"",""55154048"",""50433147"",""50433147"",""94192409"",""16308000"",""97077563"",""97077563"",""84749824""]","[""93483212"",""93483212"",""93483212"",""30604579"",""30604579"",""67098114"",""67098114"",""42566602"",""16195942"",""16195943"",""55285840"",""77637979"",""77058170"",""90207654"",""90207654"",""90207654""]","[""53550467"",""3580032"",""3580032"",""3580032"",""94145021"",""83519853"",""90590304"",""51735257"",""48739166"",""82633039"",""5821478"",""31833038"",""68987122"",""66970385"",""24224830""]",1583951905,3 years ago,,,0,My Nordic deck,
52949,elemental-hero-july-2019-52949,Elemental HERO - July 2019,89943724,15919,Non-Meta Decks,"[""89943723"",""89943723"",""89943723"",""79407975"",""85840608"",""85840608"",""85840608"",""40044918"",""40044918"",""40044918"",""89312388"",""89312388"",""89312388"",""80344569"",""80344569"",""17955766"",""17955766"",""89621922"",""43237273"",""54959865"",""48048590"",""48048590"",""48048590"",""14088859"",""14088859"",""14088859"",""35255456"",""35255456"",""35255456"",""41933425"",""82639107"",""82639107"",""73239437"",""8949584"",""32807846"",""83764718"",""24224830"",""24224830"",""74414885"",""74414885""]","[""64655485"",""64655485"",""86346643"",""90050480"",""40080312"",""78512663"",""49352945"",""11502550"",""55171412"",""48996569"",""28677304"",""46759931"",""59934749"",""7778726"",""85289965""]","[""53550467"",""3580032"",""3580032"",""3580032"",""94145021"",""83519853"",""90590304"",""51735257"",""48739166"",""82633039"",""5821478"",""31833038"",""68987122"",""66970385"",""24224830""]",1583951905,3 years ago,,,0,A standard Elemental HERO deck for multiple Fusion Summon,"This is a deck I built for my friend, which is fairly simple to play.

Combo #1: <a data-name=""Keeper of Dragon Magic"">Keeper of Dragon Magic</a> + 1 other card
<ol>
 	<li>Normal Summon <a data-name=""Keeper of Dragon Magic"">Keeper of Dragon Magic</a>.</li>
 	<li>Activate it's effect, discard the other card to add <a data-name=""Neos Fusion"">Neos Fusion</a>.</li>
 	<li>If one of the cards in your Graveyard is a Neo-Spacian monster or an <a data-name=""Elemental HERO Neos"">Elemental HERO Neos</a>, activate the 2nd effect of <a data-name=""Keeper of Dragon Magic"">Keeper of Dragon Magic</a> to Special Summon it in Defense Position.</li>
 	<li>Activate <a data-name=""Neos Fusion"">Neos Fusion</a> to Special Summon: <a data-name=""Elemental HERO Brave Neos"">Elemental HERO Brave Neos</a> if you can destroy one of your opponent monsters to add <a data-name=""Miracle Contact"">Miracle Contact</a>, or a <a data-name=""Rainbow Neos"">Rainbow Neos</a> for board clear. You can also Special Summon an Elemental HERO ... Neos for a specific purpose.</li>
</ol>
Combo #2: <a data-name=""A Hero Lives"">A Hero Lives</a> + <a data-name=""Neo Space Connector"">Neo Space Connector</a>
<ol>
 	<li>Activate <a data-name=""A Hero Lives"">A Hero Lives</a> for <a data-name=""Elemental HERO Prisma"">Elemental HERO Prisma</a>.</li>
 	<li>Activate Prisma, send <a data-name=""Elemental HERO Neos"">Elemental HERO Neos</a>.</li>
 	<li>Normal Summon <a data-name=""Neo Space Connector"">Neo Space Connector</a>.</li>
 	<li>Activate Connector for a <a data-name=""Neo-Spacian Aqua Dolphin"">Neo-Spacian Aqua Dolphin</a> or any Neo-Spacian monster.</li>
 	<li>(Optional) Activate Aqua Dolphin.</li>
 	<li>Tribute <a data-name=""Neo Space Connector"">Neo Space Connector</a> for Neos in the Graveyard.</li>
 	<li>Either:
<ul>
 	<li>Link Summon <a data-name=""Isolde, Two Tales of the Noble Knights"">Isolde, Two Tales of the Noble Knights</a> to add <a data-name=""Elemental HERO Stratos"">Elemental HERO Stratos</a>.</li>
 	<li>Contact Fusion to <a data-name=""Elemental HERO Aqua Neos"">Elemental HERO Aqua Neos</a> or any other Neos Fusion Monster you can.</li>
</ul>
</li>
</ol>
Combo #3: <a data-name=""A Hero Lives"">A Hero Lives</a>
<ol>
 	<li>Activate <a data-name=""A Hero Lives"">A Hero Lives</a> for <a data-name=""Elemental HERO Stratos"">Elemental HERO Stratos</a>.</li>
 	<li>Activate <a data-name=""Elemental HERO Stratos"">Elemental HERO Stratos</a> for <a data-name=""Elemental HERO Prisma"">Elemental HERO Prisma</a>.</li>
 	<li>Normal Summon Prisma.</li>
 	<li>Activate <a data-name=""Elemental HERO Prisma"">Elemental HERO Prisma</a>, send <a data-name=""Elemental HERO Neos"">Elemental HERO Neos</a>.</li>
 	<li>Link Summon to <a data-name=""Isolde, Two Tales of the Noble Knights"">Isolde, Two Tales of the Noble Knights</a>.</li>
 	<li>Activate Isolde for <a data-name=""Neo Space Connector"">Neo Space Connector</a> for Turn 2.</li>
</ol>
That's all of the simple combos for this deck. This deck strategy will be updated soon."
52946,dinomist-frog-52946,Dinomist frog,5067884,18192,Non-Meta Decks,"[""5067884"",""5067884"",""63251695"",""63251695"",""63251695"",""5399521"",""5399521"",""37752990"",""37752990"",""37752990"",""368382"",""368382"",""64973287"",""64973287"",""64973287"",""38988538"",""38988538"",""38988538"",""1580833"",""1580833"",""32134638"",""12525049"",""12525049"",""12525049"",""9126351"",""9126351"",""9126351"",""1357146"",""1357146"",""46239604"",""46239604"",""46239604"",""22123627"",""22123627"",""22123627"",""35261759"",""35261759"",""77116346"",""77116346"",""77116346""]","[""10443957"",""10443957"",""58069384"",""58069384"",""55285840"",""440556"",""6983839"",""90809975"",""90809975"",""31833038"",""1861629"",""2857636"",""22423493"",""24094258"",""65170459""]","[""10000080"",""10000080"",""10000080"",""90846359"",""90846359"",""15693423"",""15693423"",""82385847"",""82385847"",""82385847"",""97268402"",""97268402"",""97268402"",""14558127"",""14558127""]",1583951905,3 years ago,,,0,dinomist frog,dinomist
